Population Size,Mutation Rate,Crossover Rate,Satisfied Clauses
50,0.05,0.85,136163
50,0.05,0.85,135922
50,0.05,0.85,135944
50,0.05,0.85,136036
50,0.05,0.85,135964
50,0.05,0.85,136049
50,0.05,0.85,136089
50,0.05,0.85,135949
50,0.05,0.85,135973
50,0.05,0.85,135941
50,0.05,0.85,135950
50,0.05,0.85,136149
50,0.05,0.85,136121
50,0.05,0.85,136027
50,0.05,0.85,135977
50,0.05,0.85,135899
50,0.05,0.85,136073
50,0.05,0.85,135925
50,0.05,0.85,135828
50,0.05,0.85,135921
50,0.05,0.85,135995
50,0.05,0.85,135907
50,0.05,0.85,136016
50,0.05,0.85,135996
50,0.05,0.85,136157
50,0.05,0.85,136026
50,0.05,0.85,135975
50,0.05,0.85,136043
50,0.05,0.85,136157
50,0.05,0.85,136049
50,0.05,0.85,135951
50,0.05,0.85,136114
50,0.05,0.85,135952
50,0.05,0.85,135910
50,0.05,0.85,136046
50,0.05,0.85,135870
50,0.05,0.85,136142
50,0.05,0.85,135941
50,0.05,0.85,135963
50,0.05,0.85,135974
50,0.05,0.85,135852
50,0.05,0.85,135999
50,0.05,0.85,135950
50,0.05,0.85,135901
50,0.05,0.85,135910
50,0.05,0.85,135944
50,0.05,0.85,135994
50,0.05,0.85,136112
50,0.05,0.85,135880
50,0.05,0.85,136019
50,0.05,0.85,135956
50,0.05,0.85,135908
50,0.05,0.85,135922
50,0.05,0.85,135983
50,0.05,0.85,136069
50,0.05,0.85,135938
50,0.05,0.85,136086
50,0.05,0.85,135949
50,0.05,0.85,136065
50,0.05,0.85,136056
50,0.05,0.85,136009
50,0.05,0.85,135997
50,0.05,0.85,135926
50,0.05,0.85,135980
50,0.05,0.85,135981
50,0.05,0.85,135834
50,0.05,0.85,136290
50,0.05,0.85,135936
50,0.05,0.85,136041
50,0.05,0.85,135929
50,0.05,0.85,135976
50,0.05,0.85,136077
50,0.05,0.85,135995
50,0.05,0.85,136139
50,0.05,0.85,136051
50,0.05,0.85,135944
50,0.05,0.85,135875
50,0.05,0.85,136092
50,0.05,0.85,136176
50,0.05,1.0,135988
50,0.05,1.0,135925
50,0.05,1.0,136169
50,0.05,1.0,136026
50,0.05,1.0,136105
50,0.05,1.0,136188
50,0.05,1.0,136017
50,0.05,1.0,136055
50,0.05,1.0,136131
50,0.05,1.0,136033
50,0.05,1.0,136081
50,0.05,1.0,135999
50,0.05,1.0,136139
50,0.05,1.0,136023
50,0.05,1.0,136130
50,0.05,1.0,135997
50,0.05,1.0,136058
50,0.05,1.0,135961
50,0.05,1.0,135934
50,0.05,1.0,135901
50,0.05,1.0,135817
50,0.05,1.0,135985
50,0.05,1.0,135879
50,0.05,1.0,135843
50,0.05,1.0,135907
50,0.05,1.0,135985
50,0.05,1.0,136034
50,0.05,1.0,136173
50,0.05,1.0,136034
50,0.05,1.0,136020
50,0.05,1.0,136158
50,0.05,1.0,136041
50,0.05,1.0,136058
50,0.05,1.0,135979
50,0.05,1.0,136138
50,0.05,1.0,136048
50,0.05,1.0,136054
50,0.05,1.0,135972
50,0.05,1.0,136016
50,0.05,1.0,136058
50,0.05,1.0,135982
50,0.05,1.0,136024
50,0.05,1.0,136178
50,0.05,1.0,135871
50,0.05,1.0,135996
50,0.05,1.0,135879
50,0.05,1.0,135940
50,0.05,1.0,136030
50,0.05,1.0,136011
50,0.05,1.0,136120
50,0.05,1.0,136015
50,0.05,1.0,136000
50,0.05,1.0,136000
50,0.05,1.0,135855
50,0.05,1.0,135966
50,0.05,1.0,135970
50,0.05,1.0,135930
50,0.05,1.0,136042
50,0.05,1.0,135965
50,0.05,1.0,135964
50,0.05,1.0,136061
50,0.05,1.0,135828
50,0.05,1.0,136138
50,0.05,1.0,136171
50,0.05,1.0,135921
50,0.05,1.0,135952
50,0.05,1.0,135897
50,0.05,1.0,135793
50,0.05,1.0,135791
50,0.05,1.0,136057
50,0.05,1.0,136126
50,0.05,1.0,135998
50,0.05,1.0,135914
50,0.05,1.0,136112
50,0.05,1.0,135943
50,0.05,1.0,136086
50,0.05,1.0,135883
50,0.05,1.0,135888
50,0.05,1.0,135952
50,0.05,1.0,136065
50,0.05,1.0,135971
50,0.05,1.0,136137
50,0.05,1.0,135997
50,0.05,1.0,135966
50,0.05,1.0,136049
50,0.05,1.0,135869
50,0.05,1.0,136054
50,0.05,1.0,135991
50,0.05,1.0,136061
50,0.05,1.0,135998
50,0.05,1.0,136041
50,0.05,1.0,136282
50,0.05,1.0,135810
50,0.05,1.0,135980
50,0.05,1.0,135997
50,0.05,1.0,135856
50,0.05,1.0,135924
50,0.05,1.0,136092
50,0.05,1.0,136059
50,0.05,1.0,136147
50,0.1,0.6,135736
50,0.1,0.6,136018
50,0.1,0.6,135810
50,0.1,0.6,135936
50,0.1,0.6,135940
50,0.1,0.6,135923
50,0.1,0.6,135779
50,0.1,0.6,135815
50,0.1,0.6,136011
50,0.1,0.6,135759
50,0.1,0.6,135928
50,0.1,0.6,135798
50,0.1,0.6,135789
50,0.1,0.6,135843
50,0.1,0.6,135917
