Elitism Count,Tournament Size,Crossover Method,Best Fitness (nsat)
2,2,single_point,135752
2,2,single_point,135519
2,2,single_point,135853
2,2,single_point,135797
2,2,single_point,135894
2,2,single_point,135604
2,2,single_point,135701
2,2,single_point,135657
2,2,single_point,135702
2,2,single_point,135701
2,2,single_point,135667
2,2,uniform,135755
2,2,uniform,135600
2,2,uniform,135543
2,2,uniform,135697
2,2,uniform,135655
2,2,uniform,135793
2,2,uniform,135826
2,2,uniform,135824
2,2,uniform,135616
2,2,uniform,136023
2,2,uniform,135726
2,2,uniform,135664
2,2,uniform,135501
2,2,uniform,135532
2,2,uniform,135514
2,2,uniform,135668
2,2,uniform,135668
2,2,uniform,135758
2,2,uniform,135751
2,2,uniform,135462
2,2,uniform,135758
2,2,uniform,135543
2,2,uniform,135746
2,2,uniform,135489
2,2,uniform,135586
2,2,uniform,135521
2,2,uniform,135677
2,2,uniform,135770
2,2,uniform,135796
2,2,uniform,135540
2,3,single_point,135941
2,3,single_point,135641
2,3,single_point,135676
2,3,single_point,135926
2,3,single_point,135823
2,3,single_point,135723
2,3,single_point,135939
2,3,single_point,135620
2,3,single_point,135669
2,3,single_point,135654
2,3,single_point,135815
2,3,single_point,135671
2,3,single_point,135748
2,3,single_point,135785
2,3,single_point,135721
2,3,single_point,135850
2,3,single_point,135668
2,3,single_point,135656
2,3,single_point,135801
2,3,single_point,135991
2,3,single_point,135690
2,3,single_point,135794
2,3,single_point,135532
2,3,single_point,135589
2,3,single_point,135918
2,3,single_point,135447
2,3,single_point,135700
2,3,single_point,135704
2,3,single_point,135557
2,3,single_point,135827
2,3,uniform,135764
2,3,uniform,135613
2,3,uniform,135666
2,3,uniform,135715
2,3,uniform,135839
2,3,uniform,135735
2,3,uniform,135849
2,3,uniform,135643
2,3,uniform,135958
2,3,uniform,135855
2,3,uniform,135801
2,3,uniform,135675
2,3,uniform,135716
2,3,uniform,135894
2,3,uniform,135614
2,3,uniform,135970
2,3,uniform,135725
2,3,uniform,135698
2,3,uniform,135671
2,3,uniform,135734
2,3,uniform,135831
2,3,uniform,135713
2,3,uniform,135980
2,3,uniform,135644
2,3,uniform,135728
2,3,uniform,135735
2,3,uniform,135664
2,3,uniform,135695
2,3,uniform,135872
2,3,uniform,135729
2,5,single_point,135748
2,5,single_point,135702
2,5,single_point,135742
2,5,single_point,135692
2,5,single_point,135990
2,5,single_point,135627
2,5,single_point,136034
2,5,single_point,135904
2,5,single_point,135879
2,5,single_point,135881
2,5,single_point,135691
2,5,single_point,135896
2,5,single_point,135806
2,5,single_point,135777
2,5,single_point,136036
2,5,single_point,135784
2,5,single_point,136167
2,5,single_point,135956
2,5,single_point,135933
2,5,single_point,135764
2,5,single_point,135833
2,5,single_point,135749
2,5,single_point,136113
2,5,single_point,135935
2,5,single_point,136089
2,5,single_point,135721
2,5,single_point,135887
2,5,single_point,135894
2,5,single_point,135738
2,5,single_point,135716
2,5,uniform,136073
2,5,uniform,135904
2,5,uniform,135938
2,5,uniform,135608
2,5,uniform,135773
2,5,uniform,136106
2,5,uniform,135995
2,5,uniform,136038
2,5,uniform,135986
2,5,uniform,135928
2,5,uniform,135775
2,5,uniform,135729
2,5,uniform,136029
2,5,uniform,135815
2,5,uniform,135650
2,5,uniform,136086
2,5,uniform,135989
2,5,uniform,135765
2,5,uniform,135771
2,5,uniform,135899
2,5,uniform,135734
2,5,uniform,136120
2,5,uniform,135695
2,5,uniform,135847
2,5,uniform,135671
2,5,uniform,135900
2,5,uniform,135808
2,5,uniform,135720
2,5,uniform,135724
2,5,uniform,135890
