python3 lab_2.py -question 3 -wdimacs example.wcnf -time_budget 1 -repetitions 2
Clauses loaded...
Debug: Running first generation...
Debug: Generation 207, Pop Size 100, Total Evaluations 20700
Debug: Generation 208, Pop Size 100, Total Evaluations 20800
Debug: Generation 209, Pop Size 100, Total Evaluations 20900
Debug: Generation 210, Pop Size 100, Total Evaluations 21000
Debug: Generation 211, Pop Size 100, Total Evaluations 21100
Debug: Generation 212, Pop Size 100, Total Evaluations 21200
Debug: Generation 213, Pop Size 100, Total Evaluations 21300
Debug: Generation 214, Pop Size 100, Total Evaluations 21400
Debug: Generation 215, Pop Size 100, Total Evaluations 21500
Debug: Generation 216, Pop Size 100, Total Evaluations 21600
Debug: Generation 217, Pop Size 100, Total Evaluations 21700
Debug: Generation 218, Pop Size 100, Total Evaluations 21800
Debug: Generation 219, Pop Size 100, Total Evaluations 21900
Debug: Generation 220, Pop Size 100, Total Evaluations 22000
Debug: Generation 221, Pop Size 100, Total Evaluations 22100
Debug: Generation 222, Pop Size 100, Total Evaluations 22200
Debug: Generation 223, Pop Size 100, Total Evaluations 22300
Debug: Generation 224, Pop Size 100, Total Evaluations 22400
Debug: Generation 225, Pop Size 100, Total Evaluations 22500
Debug: Generation 226, Pop Size 100, Total Evaluations 22600
Debug: Generation 227, Pop Size 100, Total Evaluations 22700
Debug: Generation 228, Pop Size 100, Total Evaluations 22800
Debug: Generation 229, Pop Size 100, Total Evaluations 22900
Debug: Generation 230, Pop Size 100, Total Evaluations 23000
Debug: Generation 231, Pop Size 100, Total Evaluations 23100
Debug: Generation 232, Pop Size 100, Total Evaluations 23200
Debug: Generation 233, Pop Size 100, Total Evaluations 23300
Debug: Generation 234, Pop Size 100, Total Evaluations 23400
Debug: Generation 235, Pop Size 100, Total Evaluations 23500
Debug: Generation 236, Pop Size 100, Total Evaluations 23600
Debug: Generation 237, Pop Size 100, Total Evaluations 23700
Debug: Generation 238, Pop Size 100, Total Evaluations 23800
Debug: Generation 239, Pop Size 100, Total Evaluations 23900
Debug: Generation 240, Pop Size 100, Total Evaluations 24000
Debug: Generation 241, Pop Size 100, Total Evaluations 24100
Debug: Generation 242, Pop Size 100, Total Evaluations 24200
Debug: Generation 243, Pop Size 100, Total Evaluations 24300
Debug: Generation 244, Pop Size 100, Total Evaluations 24400
Debug: Generation 245, Pop Size 100, Total Evaluations 24500
Debug: Generation 246, Pop Size 100, Total Evaluations 24600
Debug: Generation 247, Pop Size 100, Total Evaluations 24700
Debug: Generation 248, Pop Size 100, Total Evaluations 24800
Debug: Generation 249, Pop Size 100, Total Evaluations 24900
Debug: Generation 250, Pop Size 100, Total Evaluations 25000
Debug: Generation 251, Pop Size 100, Total Evaluations 25100
Debug: Generation 252, Pop Size 100, Total Evaluations 25200
Debug: Generation 253, Pop Size 100, Total Evaluations 25300
Debug: Generation 254, Pop Size 100, Total Evaluations 25400
Debug: Generation 255, Pop Size 100, Total Evaluations 25500
Debug: Generation 256, Pop Size 100, Total Evaluations 25600
Debug: Generation 257, Pop Size 100, Total Evaluations 25700
Debug: Generation 258, Pop Size 100, Total Evaluations 25800
Debug: Generation 259, Pop Size 100, Total Evaluations 25900
Debug: Generation 260, Pop Size 100, Total Evaluations 26000
Debug: Generation 261, Pop Size 100, Total Evaluations 26100
Debug: Generation 262, Pop Size 100, Total Evaluations 26200
Debug: Generation 263, Pop Size 100, Total Evaluations 26300
Debug: Generation 264, Pop Size 100, Total Evaluations 26400
Debug: Generation 265, Pop Size 100, Total Evaluations 26500
Debug: Generation 266, Pop Size 100, Total Evaluations 26600
Debug: Generation 267, Pop Size 100, Total Evaluations 26700
Debug: Generation 268, Pop Size 100, Total Evaluations 26800
Debug: Generation 269, Pop Size 100, Total Evaluations 26900
Debug: Generation 270, Pop Size 100, Total Evaluations 27000
Debug: Generation 271, Pop Size 100, Total Evaluations 27100
Debug: Generation 272, Pop Size 100, Total Evaluations 27200
Debug: Generation 273, Pop Size 100, Total Evaluations 27300
Debug: Generation 274, Pop Size 100, Total Evaluations 27400
Debug: Generation 275, Pop Size 100, Total Evaluations 27500
Debug: Generation 276, Pop Size 100, Total Evaluations 27600
Debug: Generation 277, Pop Size 100, Total Evaluations 27700
Debug: Generation 278, Pop Size 100, Total Evaluations 27800
Debug: Generation 279, Pop Size 100, Total Evaluations 27900
Debug: Generation 280, Pop Size 100, Total Evaluations 28000
Debug: Generation 281, Pop Size 100, Total Evaluations 28100
Debug: Generation 282, Pop Size 100, Total Evaluations 28200
Debug: Generation 283, Pop Size 100, Total Evaluations 28300
Debug: Generation 284, Pop Size 100, Total Evaluations 28400
Debug: Generation 285, Pop Size 100, Total Evaluations 28500
Debug: Generation 286, Pop Size 100, Total Evaluations 28600
Debug: Generation 287, Pop Size 100, Total Evaluations 28700
Debug: Generation 288, Pop Size 100, Total Evaluations 28800
Debug: Generation 289, Pop Size 100, Total Evaluations 28900
Debug: Generation 290, Pop Size 100, Total Evaluations 29000
Debug: Generation 291, Pop Size 100, Total Evaluations 29100
Debug: Generation 292, Pop Size 100, Total Evaluations 29200
Debug: Generation 293, Pop Size 100, Total Evaluations 29300
Debug: Generation 294, Pop Size 100, Total Evaluations 29400
Debug: Generation 295, Pop Size 100, Total Evaluations 29500
Debug: Generation 296, Pop Size 100, Total Evaluations 29600
Debug: Generation 297, Pop Size 100, Total Evaluations 29700
Debug: Generation 298, Pop Size 100, Total Evaluations 29800
Debug: Generation 299, Pop Size 100, Total Evaluations 29900
Debug: Generation 300, Pop Size 100, Total Evaluations 30000
Generation: 300, Best fitness: 1.8
Debug: Generation 301, Pop Size 100, Total Evaluations 30100
Debug: Generation 302, Pop Size 100, Total Evaluations 30200
Debug: Generation 303, Pop Size 100, Total Evaluations 30300
Debug: Generation 304, Pop Size 100, Total Evaluations 30400
Debug: Generation 305, Pop Size 100, Total Evaluations 30500
Debug: Generation 306, Pop Size 100, Total Evaluations 30600
Debug: Generation 307, Pop Size 100, Total Evaluations 30700
Debug: Generation 308, Pop Size 100, Total Evaluations 30800
Debug: Generation 309, Pop Size 100, Total Evaluations 30900
Debug: Generation 310, Pop Size 100, Total Evaluations 31000
Debug: Generation 311, Pop Size 100, Total Evaluations 31100
Debug: Generation 312, Pop Size 100, Total Evaluations 31200
Debug: Generation 313, Pop Size 100, Total Evaluations 31300
Debug: Generation 314, Pop Size 100, Total Evaluations 31400
Debug: Generation 315, Pop Size 100, Total Evaluations 31500
Debug: Generation 316, Pop Size 100, Total Evaluations 31600
Debug: Generation 317, Pop Size 100, Total Evaluations 31700
Debug: Generation 318, Pop Size 100, Total Evaluations 31800
Debug: Generation 319, Pop Size 100, Total Evaluations 31900
Debug: Generation 320, Pop Size 100, Total Evaluations 32000
Debug: Generation 321, Pop Size 100, Total Evaluations 32100
Debug: Generation 322, Pop Size 100, Total Evaluations 32200
Debug: Generation 323, Pop Size 100, Total Evaluations 32300
Debug: Generation 324, Pop Size 100, Total Evaluations 32400
Debug: Generation 325, Pop Size 100, Total Evaluations 32500
Debug: Generation 326, Pop Size 100, Total Evaluations 32600
Debug: Generation 327, Pop Size 100, Total Evaluations 32700
Debug: Generation 328, Pop Size 100, Total Evaluations 32800
Debug: Generation 329, Pop Size 100, Total Evaluations 32900
Debug: Generation 330, Pop Size 100, Total Evaluations 33000
Debug: Generation 331, Pop Size 100, Total Evaluations 33100
Debug: Generation 332, Pop Size 100, Total Evaluations 33200
Debug: Generation 333, Pop Size 100, Total Evaluations 33300
Debug: Generation 334, Pop Size 100, Total Evaluations 33400
Debug: Generation 335, Pop Size 100, Total Evaluations 33500
Debug: Generation 336, Pop Size 100, Total Evaluations 33600
Debug: Generation 337, Pop Size 100, Total Evaluations 33700
Debug: Generation 338, Pop Size 100, Total Evaluations 33800
Debug: Generation 339, Pop Size 100, Total Evaluations 33900
Debug: Generation 340, Pop Size 100, Total Evaluations 34000
Debug: Generation 341, Pop Size 100, Total Evaluations 34100
Debug: Generation 342, Pop Size 100, Total Evaluations 34200
Debug: Generation 343, Pop Size 100, Total Evaluations 34300
Debug: Generation 344, Pop Size 100, Total Evaluations 34400
Debug: Generation 345, Pop Size 100, Total Evaluations 34500
Debug: Generation 346, Pop Size 100, Total Evaluations 34600
Debug: Generation 347, Pop Size 100, Total Evaluations 34700
Debug: Generation 348, Pop Size 100, Total Evaluations 34800
Debug: Generation 349, Pop Size 100, Total Evaluations 34900
Debug: Generation 350, Pop Size 100, Total Evaluations 35000
Debug: Generation 351, Pop Size 100, Total Evaluations 35100
Debug: Generation 352, Pop Size 100, Total Evaluations 35200
Debug: Generation 353, Pop Size 100, Total Evaluations 35300
Debug: Generation 354, Pop Size 100, Total Evaluations 35400
Debug: Generation 355, Pop Size 100, Total Evaluations 35500
Debug: Generation 356, Pop Size 100, Total Evaluations 35600
Debug: Generation 357, Pop Size 100, Total Evaluations 35700
Debug: Generation 358, Pop Size 100, Total Evaluations 35800
Debug: Generation 359, Pop Size 100, Total Evaluations 35900
Debug: Generation 360, Pop Size 100, Total Evaluations 36000
Debug: Generation 361, Pop Size 100, Total Evaluations 36100
Debug: Generation 362, Pop Size 100, Total Evaluations 36200
Debug: Generation 363, Pop Size 100, Total Evaluations 36300
Debug: Generation 364, Pop Size 100, Total Evaluations 36400
Debug: Generation 365, Pop Size 100, Total Evaluations 36500
Debug: Generation 366, Pop Size 100, Total Evaluations 36600
Debug: Generation 367, Pop Size 100, Total Evaluations 36700
Debug: Generation 368, Pop Size 100, Total Evaluations 36800
Debug: Generation 369, Pop Size 100, Total Evaluations 36900
Debug: Generation 370, Pop Size 100, Total Evaluations 37000
Debug: Generation 371, Pop Size 100, Total Evaluations 37100
Debug: Generation 372, Pop Size 100, Total Evaluations 37200
Debug: Generation 373, Pop Size 100, Total Evaluations 37300
Debug: Generation 374, Pop Size 100, Total Evaluations 37400
Debug: Generation 375, Pop Size 100, Total Evaluations 37500
Debug: Generation 376, Pop Size 100, Total Evaluations 37600
Debug: Generation 377, Pop Size 100, Total Evaluations 37700
Debug: Generation 378, Pop Size 100, Total Evaluations 37800
Debug: Generation 379, Pop Size 100, Total Evaluations 37900
Debug: Generation 380, Pop Size 100, Total Evaluations 38000
Debug: Generation 381, Pop Size 100, Total Evaluations 38100
Debug: Generation 382, Pop Size 100, Total Evaluations 38200
Debug: Generation 383, Pop Size 100, Total Evaluations 38300
Debug: Generation 384, Pop Size 100, Total Evaluations 38400
Debug: Generation 385, Pop Size 100, Total Evaluations 38500
Debug: Generation 386, Pop Size 100, Total Evaluations 38600
Debug: Generation 387, Pop Size 100, Total Evaluations 38700
Debug: Generation 388, Pop Size 100, Total Evaluations 38800
Debug: Generation 389, Pop Size 100, Total Evaluations 38900
Debug: Generation 390, Pop Size 100, Total Evaluations 39000
Debug: Generation 391, Pop Size 100, Total Evaluations 39100
Debug: Generation 392, Pop Size 100, Total Evaluations 39200
Debug: Generation 393, Pop Size 100, Total Evaluations 39300
Debug: Generation 394, Pop Size 100, Total Evaluations 39400
Debug: Generation 395, Pop Size 100, Total Evaluations 39500
Debug: Generation 396, Pop Size 100, Total Evaluations 39600
Debug: Generation 397, Pop Size 100, Total Evaluations 39700
Debug: Generation 398, Pop Size 100, Total Evaluations 39800
Debug: Generation 399, Pop Size 100, Total Evaluations 39900
Debug: Generation 400, Pop Size 100, Total Evaluations 40000
Generation: 400, Best fitness: 1.8
Debug: Generation 401, Pop Size 100, Total Evaluations 40100
Debug: Generation 402, Pop Size 100, Total Evaluations 40200
Debug: Generation 403, Pop Size 100, Total Evaluations 40300
Debug: Generation 404, Pop Size 100, Total Evaluations 40400
Debug: Generation 405, Pop Size 100, Total Evaluations 40500
Debug: Generation 406, Pop Size 100, Total Evaluations 40600
Debug: Generation 407, Pop Size 100, Total Evaluations 40700
Debug: Generation 408, Pop Size 100, Total Evaluations 40800
Debug: Generation 409, Pop Size 100, Total Evaluations 40900
Debug: Generation 410, Pop Size 100, Total Evaluations 41000
Debug: Generation 411, Pop Size 100, Total Evaluations 41100
Debug: Generation 412, Pop Size 100, Total Evaluations 41200
Debug: Generation 413, Pop Size 100, Total Evaluations 41300
Debug: Generation 414, Pop Size 100, Total Evaluations 41400
Debug: Generation 415, Pop Size 100, Total Evaluations 41500
Debug: Generation 416, Pop Size 100, Total Evaluations 41600
Debug: Generation 417, Pop Size 100, Total Evaluations 41700
Debug: Generation 418, Pop Size 100, Total Evaluations 41800
Debug: Generation 419, Pop Size 100, Total Evaluations 41900
Debug: Generation 420, Pop Size 100, Total Evaluations 42000
Debug: Generation 421, Pop Size 100, Total Evaluations 42100
Debug: Generation 422, Pop Size 100, Total Evaluations 42200
Debug: Generation 423, Pop Size 100, Total Evaluations 42300
Debug: Generation 424, Pop Size 100, Total Evaluations 42400
Debug: Generation 425, Pop Size 100, Total Evaluations 42500
Debug: Generation 426, Pop Size 100, Total Evaluations 42600
Debug: Generation 427, Pop Size 100, Total Evaluations 42700
Debug: Generation 428, Pop Size 100, Total Evaluations 42800
Debug: Generation 429, Pop Size 100, Total Evaluations 42900
Debug: Generation 430, Pop Size 100, Total Evaluations 43000
Debug: Generation 431, Pop Size 100, Total Evaluations 43100
Debug: Generation 432, Pop Size 100, Total Evaluations 43200
Debug: Generation 433, Pop Size 100, Total Evaluations 43300
Debug: Generation 434, Pop Size 100, Total Evaluations 43400
Debug: Generation 435, Pop Size 100, Total Evaluations 43500
Debug: Generation 436, Pop Size 100, Total Evaluations 43600
Debug: Generation 437, Pop Size 100, Total Evaluations 43700
Debug: Generation 438, Pop Size 100, Total Evaluations 43800
Debug: Generation 439, Pop Size 100, Total Evaluations 43900
Debug: Generation 440, Pop Size 100, Total Evaluations 44000
Debug: Generation 441, Pop Size 100, Total Evaluations 44100
Debug: Generation 442, Pop Size 100, Total Evaluations 44200
Debug: Generation 443, Pop Size 100, Total Evaluations 44300
Debug: Generation 444, Pop Size 100, Total Evaluations 44400
Debug: Generation 445, Pop Size 100, Total Evaluations 44500
Debug: Generation 446, Pop Size 100, Total Evaluations 44600
Debug: Generation 447, Pop Size 100, Total Evaluations 44700
Debug: Generation 448, Pop Size 100, Total Evaluations 44800
Debug: Generation 449, Pop Size 100, Total Evaluations 44900
Debug: Generation 450, Pop Size 100, Total Evaluations 45000
Debug: Generation 451, Pop Size 100, Total Evaluations 45100
Debug: Generation 452, Pop Size 100, Total Evaluations 45200
Debug: Generation 453, Pop Size 100, Total Evaluations 45300
Debug: Generation 454, Pop Size 100, Total Evaluations 45400
Debug: Generation 455, Pop Size 100, Total Evaluations 45500
Debug: Generation 456, Pop Size 100, Total Evaluations 45600
Debug: Generation 457, Pop Size 100, Total Evaluations 45700
Debug: Generation 458, Pop Size 100, Total Evaluations 45800
Debug: Generation 459, Pop Size 100, Total Evaluations 45900
Debug: Generation 460, Pop Size 100, Total Evaluations 46000
Debug: Generation 461, Pop Size 100, Total Evaluations 46100
Debug: Generation 462, Pop Size 100, Total Evaluations 46200
Debug: Generation 463, Pop Size 100, Total Evaluations 46300
Debug: Generation 464, Pop Size 100, Total Evaluations 46400
Debug: Generation 465, Pop Size 100, Total Evaluations 46500
Debug: Generation 466, Pop Size 100, Total Evaluations 46600
Debug: Generation 467, Pop Size 100, Total Evaluations 46700
Debug: Generation 468, Pop Size 100, Total Evaluations 46800
Debug: Generation 469, Pop Size 100, Total Evaluations 46900
Debug: Generation 470, Pop Size 100, Total Evaluations 47000
Debug: Generation 471, Pop Size 100, Total Evaluations 47100
Debug: Generation 472, Pop Size 100, Total Evaluations 47200
Debug: Generation 473, Pop Size 100, Total Evaluations 47300
Debug: Generation 474, Pop Size 100, Total Evaluations 47400
